subject,roi,cluster_id,hit_rate,birth_target,death_target,strict_tag
1,V1,1,0.915,4.705137945487923,7.4136225654126315,STRICT2
1,V2,0,0.955,3.763266179749374,6.466490826316256,STRICT2
1,V2,1,0.915,4.011986616359038,6.465046365401324,STRICT2
1,V3,3,0.89,5.653941555892494,9.110192104574823,STRICT2
1,V3,2,0.87,5.374650519956309,8.858081187785972,STRICT2
1,V4,2,0.94,5.502349191349045,10.492685375908609,STRICT2
1,V4,1,0.895,5.053862647657041,10.384181252232304,STRICT2
1,LO2,1,0.92,6.770277561901285,10.549387846061652,STRICT2
1,LO2,3,0.915,7.1086831801421155,11.019014671965913,STRICT2
1,LO2,2,0.81,7.634336902901477,11.468572043698584,STRICT2
1,MT,1,0.985,3.123348992057825,9.684469885780015,STRICT2
1,MT,2,0.8,3.6244556190898116,9.703448069674298,STRICT2
1,PH,0,0.94,2.204220539111929,8.08697598851774,STRICT2
1,PH,1,0.92,2.609753211519935,8.06085503318093,STRICT2
1,STSva,3,0.945,1.4498237606784075,3.4339964746109235,STRICT2
1,STSva,2,0.94,1.2604655527727402,3.344260002736636,STRICT2
1,PIT,1,0.99,6.342402318642603,11.812879468592422,STRICT2
2,V2,0,0.825,5.351532939502171,7.039180043765477,STRICT2
2,V3,2,0.885,3.6297204748113105,5.149026538825687,STRICT2
2,V3,5,0.86,3.7113957325617473,5.26338325659434,STRICT2
2,V4,1,0.98,2.6796951420234447,4.935968924869886,STRICT2
2,V4,2,0.935,2.4078820085417876,4.688738114677756,STRICT2
2,LO2,7,0.89,11.044906037313897,17.440421034160412,STRICT2
2,LO2,6,0.825,10.430040334178283,17.232582843409176,STRICT2
2,MT,2,0.935,3.9362733934895466,9.168623455500198,STRICT2
2,PH,0,0.925,2.3266274880232483,6.444052381762143,STRICT2
2,STSva,2,0.965,2.696075073553591,4.823368268110314,STRICT2
2,STSva,0,0.85,2.215707214652391,4.507430043887338,STRICT2
2,STSva,3,0.84,2.1777706247861266,4.259068420285084,STRICT2
2,STSva,7,0.825,2.5470160297725513,4.581996005514394,STRICT2
2,PIT,5,0.92,7.841806386465049,11.04925891922181,STRICT2
3,V1,2,0.89,1.655275468422039,4.707646838502388,STRICT2
3,V2,4,0.98,2.5793811911463522,4.567689987362621,STRICT2
3,V3,1,0.98,2.3445692258596154,5.176764452202075,STRICT2
3,V4,2,0.99,3.1220889590660073,7.944239194071326,STRICT2
3,V4,1,0.8,2.491949789936888,7.618175115686423,STRICT2
3,LO2,3,0.95,5.701418265543486,11.718085748270939,STRICT2
3,MT,4,0.835,3.167237749887169,7.327554247794895,STRICT2
3,PH,0,0.985,2.5569051072832245,7.736086696633806,STRICT2
3,STSva,1,0.95,3.2864678596195422,6.376978281297181,STRICT2
3,STSva,0,0.9,2.8470080293730424,6.260645923653992,STRICT2
3,STSva,2,0.835,3.0977769293725737,6.198969971589528,STRICT2
3,PIT,0,1.0,4.407888747848753,9.71979305954642,STRICT2
4,V1,2,0.92,7.512710822371908,12.847617098695961,STRICT2
4,V1,5,0.805,7.868513988998701,13.219335741966775,STRICT2
4,V2,1,0.92,5.518985309763852,10.884337915925897,STRICT2
4,V3,0,0.975,6.1298925894365714,10.681602720587188,STRICT2
4,V3,1,0.85,6.723644796908824,11.160071535376204,STRICT2
4,V4,4,0.83,8.325391493822686,12.62713479089193,STRICT2
4,LO2,7,0.915,8.887595895974032,15.198046107464526,STRICT2
4,LO2,5,0.85,9.612813904016905,15.958299028181786,STRICT2
4,MT,0,0.89,5.237345633495502,13.763031842297133,STRICT2
4,MT,3,0.87,5.961055520261161,13.9885248929492,STRICT2
4,MT,1,0.82,6.650621319169048,14.630014313982862,STRICT2
4,PH,5,0.935,6.133690857887268,14.277678508343904,STRICT2
4,PH,0,0.81,6.574320022808646,14.430803231963829,STRICT2
4,STSva,3,0.895,6.03886335006388,11.406331700362344,STRICT2
5,V1,1,0.865,3.89018826026701,10.616022039941475,STRICT2
5,V1,9,0.86,4.542633792535582,10.635989203381895,STRICT2
5,V2,1,0.96,2.6794949736860065,5.9881607252690525,STRICT2
5,V2,6,0.875,2.288062526787235,6.021102752966729,STRICT2
5,V2,2,0.83,2.9058321032084917,6.152283494409762,STRICT2
5,V3,1,0.93,3.3738251898662153,7.635587757754038,STRICT2
5,V3,0,0.92,3.0210710687246936,7.352690340715077,STRICT2
5,V4,2,0.85,4.136329743016764,9.928860409801224,STRICT2
5,LO2,2,0.88,4.006082364491054,10.500891672385919,STRICT2
5,LO2,0,0.84,3.0448000646527484,10.055462902796057,STRICT2
5,MT,2,1.0,3.715474187350664,11.355440182205665,STRICT2
5,MT,1,0.9,2.947031726007876,11.077766260139557,STRICT2
5,PH,0,0.975,2.247072690439016,8.629214239606343,STRICT2
5,PH,4,0.88,1.447625728753897,8.396846780186522,STRICT2
5,PH,6,0.81,2.0459229904491307,8.86664934866293,STRICT2
5,STSva,9,0.905,2.7893434208415675,6.621505843563664,STRICT2
5,STSva,0,0.875,3.031878944679543,6.864907052781847,STRICT2
5,PIT,1,0.975,2.2424299303045125,7.678433818623499,STRICT2
5,PIT,2,0.93,2.8749143812978875,8.096839344422198,STRICT2
